metric_name,ablation_type,n_boot,restricted_r2_mean,restricted_r2_lower,restricted_r2_upper,partial_r2_mean,partial_r2_lower,partial_r2_upper
dists,Dilate,300,0.33314555178055527,0.32251130756163765,0.34433237514528087,0.05603760876571465,0.04934570290724342,0.06247678606334792
dists,Erode,300,0.4487212650002986,0.4381954304269004,0.4594748798787323,0.0684875860183464,0.06253353917869676,0.07485097501005036
dists,GaussNoise,300,0.11225030051457281,0.10427693147059172,0.12117828006616317,0.03494543820392812,0.03044146589432853,0.041502593512007684
dists,GaussianBlur,300,0.17019874383654152,0.16127485007490736,0.17993926264574367,0.03358691801440312,0.028624466470417418,0.039012366682323045
dists,GridDistortion,300,0.6723555502094468,0.6649865964811829,0.6798057377289585,0.03051834673361641,0.025574805078096813,0.03557357945827777
dists,RandomGamma,300,0.2024106935990142,0.1941797931328122,0.21019913040448085,0.01819085321609921,0.01578899721523515,0.020638063051051272
foreground_psnr,Dilate,300,0.20645028853292524,0.1972172656531032,0.21836771873087832,0.26529310422366115,0.25477916912665693,0.2743163667073495
foreground_psnr,Erode,300,0.10729127040661228,0.09990680433214344,0.11619845521194624,0.17118408807027613,0.16078605228815057,0.1807810055039736
foreground_psnr,GaussNoise,300,0.8890336389101653,0.8865949109767146,0.891238436271938,0.048140683712795763,0.04214170981546791,0.05429222455393948
foreground_psnr,GaussianBlur,300,0.043879191329879726,0.03854400726824005,0.04977412589794906,0.21099511791060185,0.19851692648001334,0.2223036224049753
foreground_psnr,GridDistortion,300,0.0074087343097895275,0.0052531293958483554,0.010163438698852008,0.1414975262382093,0.13184814885777113,0.1516766809745773
foreground_psnr,RandomGamma,300,0.024918017079521262,0.022966759253885236,0.026965564677150652,0.0007473421592895012,0.00037693802906554934,0.0012278311390727997
foreground_ssim,Dilate,300,0.20240148514594528,0.19013849047930698,0.21519772037490714,0.2644082340589736,0.25343050000296097,0.2761658458543246
foreground_ssim,Erode,300,0.1738789890504495,0.16486257131613433,0.18310346352892692,0.22316799981331006,0.21221990620122624,0.23470608051033992
foreground_ssim,GaussNoise,300,0.2091824216738793,0.19855602850891982,0.2205294547952735,0.08585894005026015,0.07794138024495326,0.09580748600686001
foreground_ssim,GaussianBlur,300,0.05657625102763072,0.05120434923250203,0.06217146720779491,0.24931289189556272,0.23582789502474052,0.2617362833822611
foreground_ssim,GridDistortion,300,0.03476896758549365,0.029936758965744832,0.03987345269456195,0.1450466964149835,0.1346714666652378,0.1546401942073571
foreground_ssim,RandomGamma,300,0.14321445094415255,0.13613403812305389,0.15172803641821045,0.028416487314069226,0.025722635610597136,0.03106384201359595
lpips,Dilate,300,0.20527442681543026,0.19679043761206602,0.21653579237496728,0.09335876141076654,0.0853254917967651,0.10111743251411336
lpips,Erode,300,0.20857687857778706,0.1997295877670608,0.2177482921855719,0.1008264814421574,0.09322003854120474,0.1099041427727178
lpips,GaussNoise,300,0.2002590532831837,0.18891267826310026,0.21262142451364843,0.07463034152016292,0.06712600918043576,0.08269216204322409
lpips,GaussianBlur,300,0.06834539309038869,0.062419210717958744,0.07522816435164836,0.11538142066551435,0.10720004202278187,0.12345370392369087
lpips,GridDistortion,300,0.17414821095970498,0.1639019257628892,0.18345464006826487,0.1228450487378103,0.11431054503492559,0.13107596077118105
lpips,RandomGamma,300,0.029974761997144068,0.025962500250258022,0.034129948825410414,0.006388095970021152,0.005112300461913788,0.00803269042591073
mae,Dilate,300,0.1398966303996199,0.1325501299851683,0.14758058263622312,0.08256015854473575,0.07518923244386184,0.09136837798265995
mae,Erode,300,0.10945501003470282,0.10224770725019988,0.11663980939597163,0.09937574422045424,0.0907430456612846,0.10949458260729554
mae,GaussNoise,300,0.5366956869090087,0.5291937536546562,0.5438135237199263,0.04379114036573789,0.038103471127304465,0.05068166412621484
mae,GaussianBlur,300,0.0459148284218446,0.04125204453781955,0.051604560452382806,0.09627388074994264,0.08822700763541363,0.10545297961157796
mae,GridDistortion,300,0.029707665437914747,0.025036487203062792,0.034737282368507615,0.08833282294251865,0.080321421258652,0.09748799927564582
mae,RandomGamma,300,0.091448507999493,0.08547932889219681,0.09643351226299852,0.009876832427475528,0.007926887235065563,0.011983126988142828
psnr,Dilate,300,0.2243908555275792,0.2126573389244257,0.23469529431797936,0.16807824377515587,0.15799306883180553,0.18027999080392898
psnr,Erode,300,0.18187618761540136,0.17177170154237303,0.19048715453949372,0.15735872707492335,0.14776473632943427,0.1667043329650922
psnr,GaussNoise,300,0.8714501906864904,0.8685677049888956,0.874245820214238,0.028668675895397733,0.023816308061340028,0.03396461185608002
psnr,GaussianBlur,300,0.07162393983836517,0.06404126578466937,0.08044382317540272,0.17160022602499636,0.16309306984778218,0.18234595527419775
